:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n1" #{"n2"}, "n2" #{"n0"}, "n0" #{"n1"}}]
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	2
0	:invoke	:generate	nil
1	:ok	:generate	3
1	:invoke	:generate	nil
1	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	7
1	:invoke	:generate	nil
2	:ok	:generate	8
2	:invoke	:generate	nil
1	:ok	:generate	9
2	:ok	:generate	10
1	:invoke	:generate	nil
0	:ok	:generate	11
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	12
2	:invoke	:generate	nil
0	:ok	:generate	13
0	:invoke	:generate	nil
0	:ok	:generate	14
0	:invoke	:generate	nil
0	:ok	:generate	15
0	:invoke	:generate	nil
0	:ok	:generate	16
0	:invoke	:generate	nil
0	:ok	:generate	17
0	:invoke	:generate	nil
1	:ok	:generate	18
1	:invoke	:generate	nil
0	:ok	:generate	19
0	:invoke	:generate	nil
0	:ok	:generate	20
0	:invoke	:generate	nil
2	:ok	:generate	21
2	:invoke	:generate	nil
0	:ok	:generate	22
0	:invoke	:generate	nil
2	:ok	:generate	23
2	:invoke	:generate	nil
0	:ok	:generate	24
0	:invoke	:generate	nil
2	:ok	:generate	25
2	:invoke	:generate	nil
2	:ok	:generate	26
2	:invoke	:generate	nil
2	:ok	:generate	27
2	:invoke	:generate	nil
2	:ok	:generate	28
2	:invoke	:generate	nil
2	:ok	:generate	29
2	:invoke	:generate	nil
2	:ok	:generate	30
2	:invoke	:generate	nil
0	:ok	:generate	31
0	:invoke	:generate	nil
2	:ok	:generate	32
0	:ok	:generate	33
0	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	34
2	:ok	:generate	35
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	36
2	:invoke	:generate	nil
2	:ok	:generate	37
2	:invoke	:generate	nil
2	:ok	:generate	38
2	:invoke	:generate	nil
2	:ok	:generate	39
2	:invoke	:generate	nil
2	:ok	:generate	40
2	:invoke	:generate	nil
2	:ok	:generate	41
2	:invoke	:generate	nil
2	:ok	:generate	42
2	:invoke	:generate	nil
0	:ok	:generate	43
0	:invoke	:generate	nil
0	:ok	:generate	44
0	:invoke	:generate	nil
0	:ok	:generate	45
0	:invoke	:generate	nil
0	:ok	:generate	46
0	:invoke	:generate	nil
0	:ok	:generate	47
0	:invoke	:generate	nil
0	:ok	:generate	48
0	:invoke	:generate	nil
1	:ok	:generate	49
1	:invoke	:generate	nil
0	:ok	:generate	50
1	:ok	:generate	51
1	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	52
2	:invoke	:generate	nil
1	:ok	:generate	53
2	:ok	:generate	54
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	55
1	:invoke	:generate	nil
2	:ok	:generate	56
2	:invoke	:generate	nil
1	:ok	:generate	57
2	:ok	:generate	58
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	59
2	:ok	:generate	60
2	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	61
0	:invoke	:generate	nil
0	:ok	:generate	62
0	:invoke	:generate	nil
0	:ok	:generate	63
0	:invoke	:generate	nil
0	:ok	:generate	64
0	:invoke	:generate	nil
0	:ok	:generate	65
0	:invoke	:generate	nil
0	:ok	:generate	66
0	:invoke	:generate	nil
0	:ok	:generate	67
0	:invoke	:generate	nil
0	:ok	:generate	68
0	:invoke	:generate	nil
0	:ok	:generate	69
2	:ok	:generate	70
0	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	71
0	:invoke	:generate	nil
2	:ok	:generate	72
2	:invoke	:generate	nil
0	:ok	:generate	73
2	:ok	:generate	74
0	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	75
0	:invoke	:generate	nil
0	:ok	:generate	76
0	:invoke	:generate	nil
0	:ok	:generate	77
0	:invoke	:generate	nil
0	:ok	:generate	78
0	:invoke	:generate	nil
0	:ok	:generate	79
0	:invoke	:generate	nil
0	:ok	:generate	80
0	:invoke	:generate	nil
0	:ok	:generate	81
0	:invoke	:generate	nil
0	:ok	:generate	82
0	:invoke	:generate	nil
2	:ok	:generate	83
0	:ok	:generate	84
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	85
0	:ok	:generate	86
0	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	87
0	:invoke	:generate	nil
0	:ok	:generate	88
0	:invoke	:generate	nil
0	:ok	:generate	89
0	:invoke	:generate	nil
0	:ok	:generate	90
0	:invoke	:generate	nil
0	:ok	:generate	91
0	:invoke	:generate	nil
0	:ok	:generate	92
0	:invoke	:generate	nil
0	:ok	:generate	93
0	:invoke	:generate	nil
0	:ok	:generate	94
0	:invoke	:generate	nil
0	:ok	:generate	95
0	:invoke	:generate	nil
1	:ok	:generate	96
1	:invoke	:generate	nil
0	:ok	:generate	97
0	:invoke	:generate	nil
0	:ok	:generate	98
0	:invoke	:generate	nil
0	:ok	:generate	99
0	:invoke	:generate	nil
0	:ok	:generate	100
0	:invoke	:generate	nil
0	:ok	:generate	101
0	:invoke	:generate	nil
2	:ok	:generate	102
2	:invoke	:generate	nil
1	:ok	:generate	103
2	:ok	:generate	104
2	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	105
1	:ok	:generate	106
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	107
2	:ok	:generate	108
2	:invoke	:generate	nil
2	:ok	:generate	109
1	:invoke	:generate	nil
2	:invoke	:generate	nil
